timestamp,region,latency_ms,packet_loss_pct,bandwidth_mbps,jitter_ms,hour,day_of_week,date,is_business_hours,latency_breach,loss_breach,health_score
2025-03-01 00:00:00,us-east-1,19.34,0.094,866.0,1.31,0,Saturday,2025-03-01,0,0,0,94.3
2025-03-01 01:00:00,us-east-1,17.63,0.234,831.7,0.17,1,Saturday,2025-03-01,0,0,0,93.9
2025-03-01 02:00:00,us-east-1,19.75,0.301,935.0,1.07,2,Saturday,2025-03-01,0,0,0,92.9
2025-03-01 03:00:00,us-east-1,22.11,0.089,964.8,0.29,3,Saturday,2025-03-01,0,0,0,93.6
2025-03-01 04:00:00,us-east-1,17.37,0.045,755.7,4.13,4,Saturday,2025-03-01,0,0,0,95.1
2025-03-01 05:00:00,us-east-1,17.37,0.54,690.3,7.38,5,Saturday,2025-03-01,0,0,0,92.1
2025-03-01 06:00:00,us-east-1,22.26,1.248,629.7,0.19,6,Saturday,2025-03-01,0,0,1,86.6
2025-03-01 07:00:00,us-east-1,20.07,0.224,911.0,7.76,7,Saturday,2025-03-01,0,0,0,93.3
2025-03-01 08:00:00,us-east-1,19.24,0.062,932.9,1.85,8,Saturday,2025-03-01,1,0,0,94.5
2025-03-01 09:00:00,us-east-1,22.38,0.105,769.1,0.89,9,Saturday,2025-03-01,1,0,0,93.4
2025-03-01 10:00:00,us-east-1,19.26,0.006,1000.0,0.2,10,Saturday,2025-03-01,1,0,0,94.8
2025-03-01 11:00:00,us-east-1,19.25,0.811,1000.0,1.74,11,Saturday,2025-03-01,1,0,0,90.0
2025-03-01 12:00:00,us-east-1,21.45,0.041,1000.0,3.96,12,Saturday,2025-03-01,1,0,0,94.0
2025-03-01 13:00:00,us-east-1,14.76,0.284,1000.0,3.07,13,Saturday,2025-03-01,1,0,0,94.4
2025-03-01 14:00:00,us-east-1,15.34,0.106,1000.0,0.13,14,Saturday,2025-03-01,1,0,0,95.3
2025-03-01 15:00:00,us-east-1,18.95,0.267,1000.0,0.19,15,Saturday,2025-03-01,1,0,0,93.3
2025-03-01 16:00:00,us-east-1,17.56,0.348,1000.0,1.29,16,Saturday,2025-03-01,1,0,0,93.2
2025-03-01 17:00:00,us-east-1,21.68,0.584,1000.0,0.87,17,Saturday,2025-03-01,1,0,0,90.7
2025-03-01 18:00:00,us-east-1,17.88,0.076,1000.0,0.66,18,Saturday,2025-03-01,1,0,0,94.8
2025-03-01 19:00:00,us-east-1,14.19,0.003,888.6,0.82,19,Saturday,2025-03-01,0,0,0,96.2
2025-03-01 20:00:00,us-east-1,21.96,0.044,769.8,4.07,20,Saturday,2025-03-01,0,0,0,93.9
2025-03-01 21:00:00,us-east-1,17.39,0.691,969.0,6.62,21,Saturday,2025-03-01,0,0,0,91.2
2025-03-01 22:00:00,us-east-1,18.18,0.621,829.0,1.3,22,Saturday,2025-03-01,0,0,0,91.4
2025-03-01 23:00:00,us-east-1,14.15,0.273,759.3,5.91,23,Saturday,2025-03-01,0,0,0,94.6
2025-03-02 00:00:00,us-east-1,16.53,0.275,914.4,0.97,0,Sunday,2025-03-02,0,0,0,93.9
2025-03-02 01:00:00,us-east-1,18.3,0.328,742.2,1.62,1,Sunday,2025-03-02,0,0,0,93.2
2025-03-02 02:00:00,us-east-1,14.89,0.058,853.4,0.64,2,Sunday,2025-03-02,0,0,0,95.7
